id	bloque	titulo	cuerpo
1	Democràcia Econòmica	Pla Nacional de Transició Energètica	<p>Crearem un Pla Nacional de Transició Energètica que mobilitzi la inversió pública-privada en eficiència energètica i energies  verdes en un 1’5% anual del Producte Interior Brut (PIB) durant un període de vint anys. La fi és transformar l’aparell productiu, el model immobiliari i el sistema de transports per avançar cap a una economia baixa en carboni i caracteritzada per l’ús de fonts d’energia renovables.</p><p>L’aplicació d’aquest pla permetrà una disminució del 30% del consum nacional d’energia primària, mentre que una gran part del consum restant es cobrirà de manera autòctona mitjançant energies renovables al final de la seva aplicació, reduint així la dependència energètica. Aconseguirem una reducció molt significativa de les emissions de CO2 i un fort impacte sobre l’ocupació, tant en sectors laborals que pateixen l’atur associat a la fi de la bombolla immobiliària com en sectors professionals d’alta qualificació tècnica. Durant el primer any de funcionament del pla es crearan 300.000 llocs de treball estables, xifra que augmentarà als 400.000 en la fase final. Aquest pla nacional es recolza en dos grans pilars: </p><ul><li>Pla Nacional d’Estalvi Energètic: orientat a impulsar la millora de l’eficiència energètica dels edificis, però també en el transport, la indústria i els sistemes de distribució elèctrica. La columna vertebral d’aquest pla és la rehabilitació de 200.000 habitatges l’any des del primer, per tractar l’aïllament tèrmic, la instal·lació de sistemes de calefacció i aigua calenta eficients i la il·luminació de baix consum. Aquestes reformes produiran un estalvi de fins al 80% de la demanda d’energia dels habitatges rehabilitats.</li><li>Pla Nacional d’Energies Renovables: centrat en l’expansió i la instal·lació d’energies renovables netes tals com la solar, l’eòlica, la geotèrmica, la  hidroelèctrica de mida petita i la biomassa de baixa emissió.</li></ul><p>Aquest pla inclou tota la cadena d’investigació, desenvolupament, fabricació i instal·lació i estarà particularment orientat a reduir dràsticament el consum de combustibles fòssils en generació elèctrica, creant a més a més un teixit industrial propi d’alt valor afegit. Ambdós plans han d’organitzar-se de mode que es prioritzi la democratització i redistribució del procés de generació i distribució energètica, per a que la propietat dels nous sistemes de producció estigui en les mans d’ajuntaments, consumidors o petites i mitjanes empreses.</p>
2	Democràcia Econòmica	Derogació del Real Decret 900 / 2015, del 9 d’octubre, y aprovació d’una normativa que permeti el desenvolupament de l’autoconsum elèctric	<p>Derogarem el Real Decreto 900 / 2015, del 9 d’octubre, sobre l’autoconsum elèctric i aprovarem una normativa que permeti el seu desenvolupament, amb les següents característiques bàsiques: </p><ul><li>L’energia autoconsumida instantàniament queda lliure de qualsevol tipus d’imposició. </li><li>L’energia abocada al sistema elèctric serà justament retribuïda per part de l’empresa comercialitzadora (mitjançant la cancel·lació de la quantitat de quilovats hora consumida de la xarxa o per mitjà d’un saldo econòmic).</li><li>Establiment d’uns tràmits administratius àgils.</li></ul>
3	Democràcia Econòmica	Impuls i desenvolupament d’infraestructures verdes	<p>Impulsarem les infraestructures verdes (xarxes de transport col·lectiu, transport ferroviari, eficiència en l’ús de l’aigua, reforestació, etcètera) i els plans de recerca, desenvolupament i innovació (R+D+i) específicament dissenyats per al desenvolupament de tecnologies verdes que, en particular, proporcionen noves formes d’emmagatzematge d’energia, nous vectors energètics i noves capacitats de modulació de l’electricitat generada, com l’hidrogen o la solar termoelèctrica, que puguin permetre optimitzar l’aprofitament de les energies renovables en el sistema elèctric.</p>
4	Democràcia Econòmica	Adopció progressiva d’una energia 100% renovable en totes les dependències de l’Administració Pública	Contractarem, de forma progressiva, el 100% de l’energia renovable en totes les dependències de l’Administració Pública a través d’una comercialitzadora elèctrica que ofereixi aquest servei.
5	Democràcia Econòmica	Compromís públic de no autoritzar instal·lacions de fracking	Adoptarem el compromís públic de no autoritzar instal·lacions de fractura hidràulica (fracking).
6	Democràcia Econòmica	Realització d’una auditoria de costos de tot el sistema elèctric 	-  Iniciarem una auditoria de costos de tot el sistema elèctric que determini les despeses reals de producció de l’electricitat amb cada tecnologia, així com les despeses associades als serveis de transport i distribució. Tanmateix, realitzarem una auditoria del deute associat al dèficit de tarifa.
7	Democràcia Econòmica	Modificació del marc regulador per a què totes les fonts d’energia puguin rebre una retribució raonable basada en les despeses reals de producció	Modificarem el marc regulador per a què totes les fonts d’energia puguin rebre una retribució raonable basada en les despeses reals de producció. Aquesta retribució proporcionarà avantatges comparatius a les fonts de menor impacte ambiental. A més, el nou marc acabarà amb els beneficis injustificats de les centrals nuclears i hidroelèctriques.
8	Democràcia Econòmica	Establiment de controls efectius que impedeixen pràctiques oligopòliques en el sistema elèctric 	Establirem controls efectius per impedir pràctiques oligopòliques en el sistema elèctric, inclosa la integració vertical. Particularment, s’estudiarà la possibilitat de separar la propietat i la gestió de les xarxes de distribució.
9	Democràcia Econòmica	Protagonisme de les energies renovables en la planificació del sistema elèctric	"Situarem les energies renovables com el pilar central de la planificació del sistema elèctric. Mentre sigui necessari, la resta de tecnologies funcionaran com a suport de les anteriors. En aquest sentit:

-  Estudiarem de quantes centrals de cicle combinat es pot prescindir sense que varien els estàndards actuals de garantia de subministre. Les centrals de cicle combinat prescindibles no rebran cap tipus de pagament per capacitat.
-  Procedirem al tancament gradual de les centrals nuclears en funcionament en Espanya.
-  Durem a terme el tancament progressiu de les centrals de carbó.

L’abandó progressiu de fonts d’energia vinculades a les centrals de cicle combinat, nuclears o de carbó, s’efectuaran en el marc d’una transició justa per als treballadors d’aquestes indústries, de forma que es pugui garantir la seva progressiva recol·locació en sectors nets en igualtat de condicions."
10	Democràcia Econòmica	Recuperació de les centrals hidroelèctriques per part de l’Estat 	Promourem la recuperació per part de l’Estat de les centrals hidroelèctriques on les seves concessions a empreses privades tinguin data de caducitat. De la seva gestió s’encarregaran les confederacions hidrogràfiques, el Ministeri de Medi Ambient i l’operador del sistema.
